"TID","EN","AR","CN","CNT","DE","ES-419","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI","UK"
"TID_LUCHADOR_BUDDY_OVERCHARGE_DESC","Leaping high, El Primo drops an Intergalactic Elbow that brings enemies to the Epicenter. Main attacks are bigger and light enemies on fire for <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> sec.","يقفز إل بريمو عاليًا وينزل بضربة كوع ساحقة تجذب الأعداء إلى مركز هبوطه. تصبح الهجمات الأساسية أكبر وتُشعل الأعداء لمدة <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> ث.","艾尔·普里莫高高跃起，使出强力肘击砸向目标，可将敌人拉向落点！普通攻击范围变大并且会点燃敌人，持续<!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>秒。","艾爾普里莫高高躍起，使出強力肘擊砸向目標，可將敵人拉向落點！普通攻擊範圍變大並且會點燃敵人，持續<!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>秒。","El Primo springt hoch in die Luft und landet mit einem intergalaktischen Ellenbogen-Drop, der Gegner ins Epizentrum zieht. Hauptattacken sind größer und setzen Gegner <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> Sekunden lang in Brand.","El Primo salta por los aires y al aterrizar da un codazo intergaláctico que atrae a los enemigos hacia el epicentro del impacto. El área de los ataques principales aumenta y los enemigos arden durante <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> segundo(s).","El Primo salta por los aires y al aterrizar da un codazo intergaláctico que atrae a los enemigos hacia el epicentro del impacto. Los ataques principales impactan en un área mayor y prenden fuego a los enemigos durante <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> segundo(s).","El Primo loikkaa korkeuksiin, pudottaa galaktisen kyynärpäänsä ja vetää vastustajia luokseen. Hänen päähyökkäyksensä ovat suurempia ja sytyttävät vastustajat tuleen <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> sekunnin ajaksi.","El Costo s'envole dans les airs et donne un coup de coude intergalactique qui attire tous les ennemis à son épicentre. Ses attaques principales sont plus larges et brûlent les ennemis pendant <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> secondes.","אל פרימו מזנק לגובה ומנחית מכת מרפק אינטר-גלקטית ששולחת את האויבים היישר אל מוקד הרעש. ההתקפות העיקריות גדולות יותר ואויבים קלים עולים באש למשך <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> שניות.","El Primo melompat tinggi dan menyeret lawan mendekat dengan Sikut Intergalaksi miliknya. Serangan dasar menjadi lebih besar dan membakar lawan selama <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> detik.","El Primo salta in alto e atterra con una gomitata mostruosa che attira i nemici verso il centro dello schianto. L'attacco base è più ampio e brucia i nemici per <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> secondi.","高く跳び上がったら、地核にまで届くほどの強力なエルボードロップを敵の脳天にお見舞いする。通常攻撃が大きくなり、敵を<!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>秒間炎上させる。","높이 점프한 뒤 팔꿈치로 힘껏 내리쳐 적들을 공격 지점으로 끌어당깁니다. 일반 공격이 더 커지고 적을<!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>초 동안 불태웁니다.","El Primo melompat tinggi dan menjatuhkan siku membinasakan, menarik musuh ke tengah. Serangan utama lebih besar dan membakar musuh selama <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> saat.","El Primo springt hoog de lucht in en komt neer met een intergalactische elleboogstoot die vijanden naar het epicentrum trekt. Hoofdaanvallen zijn krachtiger en zetten vijanden <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> sec. in brand.","El Primo wyskakuje w górę i zadaje potężny cios międzygalaktycznym łokciem, ściągając wrogów do epicentrum. Ataki główne są większe i podpalają wrogów na <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> s.","Das alturas, El Primo desfere uma cotovelada intergaláctica que atrai os inimigos ao epicentro. Os ataques principais ficam maiores e incendeiam os inimigos por <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>s.","Высоко подпрыгнув, Эль Примо с силой обрушивает вниз свой локоть, притягивая врагов к месту приземления. Основные атаки становятся больше и поджигают врагов на <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> с.","เอล ปริโม่จะกระโดดขึ้นสูงพร้อมทิ้งศอกพลังกาแล็กซีที่ทะลวงพาศัตรูลงไปยังแกนโลก! การโจมตีพื้นฐานของเขาจะใหญ่ขึ้นและทำให้ศัตรูติดไฟเป็นระยะเวลา <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> วินาที","El Primo, yüksek bir sıçrayış yaparak düşmanları merkeze çeken sert bir dirsek darbesi indirir. Temel saldırıları büyür ve hafif düşmanları <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> saniyeliğine ateşe verir.","El Primo nhảy lên cao, xuống đòn khuỷu tay như trời giáng và kéo kẻ địch về phía tâm chấn của đòn tấn công. Đòn tấn công chính có kích cỡ lớn hơn và có thể khiến kẻ địch bốc cháy trong <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> giây.","Високо підстрибнувши, Ель-Прімо завдає удар «Міжгалактичним ліктем», який притягує противників в епіцентр. Основні атаки стають потужнішими та підпалюють противників на <!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> с."
"TID_LUCHADOR_BUDDY_OVERCHARGE_DIFF","El Primo's main attacks are bigger and light enemies on fire for <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> sec.","هجمات إل بريمو الأساسية أكبر وتُشعل الأعداء لمدة <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> ث.","普通攻击范围变大并且会点燃敌人，持续<c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>秒。","普通攻擊範圍變大並且會點燃敵人，持續<c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>秒。","El Primos Hauptattacken sind größer und setzen Gegner <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> Sekunden lang in Brand.","El área de los ataques principales aumenta y los enemigos arden durante <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> segundo(s).","Los ataques principales impactan en un área mayor y prenden fuego a los enemigos durante <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> segundo(s).","El Primon päähyökkäykset ovat suurempia ja sytyttävät vastustajat tuleen <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> sekunnin ajaksi.","Les attaques principales d'El Costo sont plus larges et brûlent les ennemis pendant <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> s.","ההתקפות העיקריות גדולות יותר ואויבים בהירים עולים באש למשך <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> שניות.","Serangan dasar El Primo lebih besar dan membakar lawan selama <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> detik.","L'attacco base è più ampio e brucia i nemici per <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> secondi.","通常攻撃が大きくなり、敵を<c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>秒間炎上させる。","일반 공격이 더 커지고 적을 <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c>초 동안 불태웁니다.","Serangan utama El Primo lebih besar dan membakar musuh selama <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> saat.","De hoofdaanvallen van El Primo zijn krachtiger en zetten vijanden <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> sec. in brand.","Ataki główne El Primo są większe i podpalają wrogów na <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> s.","Os ataques principais do El Primo ficam maiores e incendeiam os inimigos por <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds>s</c>.","Область основной атаки Эль Примо увеличивается, а сама атака поджигает врагов на <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> с.","การโจมตีพื้นฐานของเอล ปริโม่จะใหญ่ขึ้นและทำให้ศัตรูติดไฟเป็นระยะเวลา <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> วินาที","El Primo'nun temel saldırıları büyür ve düşmanları <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> saniyeliğine ateşe verir.","Đòn tấn công chính của El Primo có kích cỡ lớn hơn và có thể khiến kẻ địch bốc cháy trong <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> giây.","Основні атаки стають потужнішими та підпалюють противників на <c00cc00><!card.character.weaponskill.overchargedversion.projectile.statuseffectenemy.duration.ticksasseconds></c> с."
"TID_ACCESSORY_BLOCKED_GROUNDED","Grounded!","منع التعبئة!","无法位移！","無法位移！","Gehemmt!","¡Estatua!","¡Agotado!","Maadoitettu!","Immobilisé !","מקורקע!","Hukuman Daya Negatif!","Mobilità limitata","移動不可！","이동 능력 사용 불가!","Terkandas!","In shock!","Uziemienie!","Mobilidade restrita!","Боец заземлён!","ล็อคติดพื้น!","Kısıtlı!","Trấn áp!","Заземлення!"
"TID_STARR_RANGE_TITLE_RARE","UNLOCK A RARE BRAWLER","افتح بطلاً نادرًا","解锁一个稀有英雄","解鎖一個稀有英雄","SCHALTE EINEN SELTENEN BRAWLER FREI","DESBLOQUEA A UN BRAWLER ESPECIAL","DESBLOQUEA A UN BRAWLER ESPECIAL","AVAA HARVINAINEN RÄMÄPÄÄ","DÉBLOQUEZ UN BRAWLER RARE","פתחו נעילה של בראולר נדיר","BUKA JAGOAN LANGKA","SBLOCCA UN BRAWLER RARO","レアキャラクターをアンロック","희귀 브롤러 잠금 해제","BUKA BRAWLER JARANG","ONTGRENDEL EEN ZELDZAME KNOKKER","ODBLOKUJ RZADKIEGO ZADYMIARZA","LIBERE UM BRAWLER RARO","РЕДКИЙ БОЕЦ","ปลดล็อคบรอว์เลอร์แรร์","BİR ENDER SAVAŞÇI AÇ","MỞ KHÓA MỘT CHIẾN BINH BRAWL HIẾM","РОЗБЛОКУЙ РІДКІСНОГО БІЙЦЯ"
"TID_STARR_RANGE_TITLE_SUPER_RARE","UNLOCK A SUPER RARE BRAWLER","افتح بطلاً بالغ الندرة","解锁一个超稀有英雄","解鎖一個超稀有英雄","SCHALTE EINEN SUPERSELTENEN BRAWLER FREI","DESBLOQUEA A UN BRAWLER SUPERESPECIAL","DESBLOQUEA A UN BRAWLER SUPERESPECIAL","AVAA SUPERHARVINAINEN RÄMÄPÄÄ","DÉBLOQUEZ UN BRAWLER SUPER RARE","פתחו נעילה של בראולר נדיר במיוחד","BUKA JAGOAN SUPER LANGKA","SBLOCCA UN BRAWLER SUPER RARO","スーパーレアキャラクターをアンロック","초희귀 브롤러 잠금 해제","BUKA BRAWLER SUPERJARANG","ONTGRENDEL EEN SUPERZELDZAME KNOKKER","ODBLOKUJ BARDZO RZADKIEGO ZADYMIARZA","LIBERE UM BRAWLER SUPER-RARO","СВЕРХРЕДКИЙ БОЕЦ","ปลดล็อคบรอว์เลอร์\nซูเปอร์แรร์","BİR SÜPER ENDER SAVAŞÇI AÇ","MỞ KHÓA MỘT CHIẾN BINH BRAWL SIÊU HIẾM","РОЗБЛОКУЙ СУПЕРРІДКІСНОГО БІЙЦЯ"
"TID_STARR_RANGE_TITLE_EPIC","UNLOCK AN EPIC BRAWLER","افتح بطلاً استثنائيًا","解锁一个史诗英雄","解鎖一個史詩英雄","SCHALTE EINEN EPISCHEN BRAWLER FREI","DESBLOQUEA A UN BRAWLER ÉPICO","DESBLOQUEA A UN BRAWLER ÉPICO","AVAA EEPPINEN RÄMÄPÄÄ","DÉBLOQUEZ UN BRAWLER ÉPIQUE","פתחו נעילה של בראולר אדיר","BUKA JAGOAN EPIK","SBLOCCA UN BRAWLER EPICO","ハイパーレアキャラクターをアンロック","영웅 브롤러 잠금 해제","BUKA BRAWLER EPIK","ONTGRENDEL EEN EPISCHE KNOKKER","ODBLOKUJ EPICKIEGO ZADYMIARZA","LIBERE UM BRAWLER ÉPICO","ЭПИЧЕСКИЙ БОЕЦ","ปลดล็อคบรอว์เลอร์อีปิค","BİR DESTANSI SAVAŞÇI AÇ","MỞ KHÓA MỘT CHIẾN BINH BRAWL QUÝ HIẾM","РОЗБЛОКУЙ ЕПІЧНОГО БІЙЦЯ"
"TID_STARR_RANGE_TITLE_MYTHIC","UNLOCK A MYTHIC BRAWLER","افتح بطلاً خرافيًا","解锁一个神话英雄","解鎖一個神話英雄","SCHALTE EINEN MYTHISCHEN BRAWLER FREI","DESBLOQUEA A UN BRAWLER MÍTICO","DESBLOQUEA A UN BRAWLER MÍTICO","AVAA MYYTTINEN RÄMÄPÄÄ","DÉBLOQUEZ UN BRAWLER MYTHIQUE","פתחו נעילה של בראולר מדהים","BUKA JAGOAN MISTIS","SBLOCCA UN BRAWLER MITICO","ウルトラレアキャラクターをアンロック","신화 브롤러 잠금 해제","BUKA BRAWLER MITOS","ONTGRENDEL EEN MYTHISCHE KNOKKER","ODBLOKUJ MITYCZNEGO ZADYMIARZA","LIBERE UM BRAWLER MÍTICO","МИФИЧЕСКИЙ БОЕЦ","ปลดล็อคบรอเลอร์มีธิค","BİR GİZEMLİ SAVAŞÇI AÇ","MỞ KHÓA MỘT CHIẾN BINH BRAWL THẦN THOẠI","РОЗБЛОКУЙ МІФІЧНОГО БІЙЦЯ"
"TID_STARR_RANGE_TITLE_LEGENDARY","UNLOCK A LEGENDARY BRAWLER","افتح بطلاً أسطوريًا","解锁一个传奇英雄","解鎖一個傳奇英雄","SCHALTE EINEN LEGENDÄREN BRAWLER FREI","DESBLOQUEA A UN BRAWLER LEGENDARIO","DESBLOQUEA A UN BRAWLER LEGENDARIO","AVAA LEGENDAARINEN RÄMÄPÄÄ","DÉBLOQUEZ UN BRAWLER LÉGENDAIRE","פתחו נעילה של בראולר אגדי","BUKA JAGOAN LEGENDARIS","SBLOCCA UN BRAWLER LEGGENDARIO","レジェンドレアキャラクターをアンロック","전설 브롤러 잠금 해제","BUKA BRAWLER LEGENDA","ONTGRENDEL EEN LEGENDARISCHE KNOKKER","ODBLOKUJ LEGENDARNEGO ZADYMIARZA","LIBERE UM BRAWLER LENDÁRIO","ЛЕГЕНДАРНЫЙ БОЕЦ","ปลดล็อคบรอว์เลอร์\nเลเจนดารี","BİR EFSANEVİ SAVAŞÇI AÇ","MỞ KHÓA MỘT CHIẾN BINH BRAWL HUYỀN THOẠI","РОЗБЛОКУЙ ЛЕГЕНДАРНОГО БІЙЦЯ"
"TID_STARR_RANGE_TITLE_ULTRA_LEGENDARY","UNLOCK AN ULTRA BRAWLER","افتح بطلاً فائقًا","解锁一个超凡英雄","解鎖一個超凡英雄","SCHALTE EINEN ULTRA-BRAWLER FREI","DESBLOQUEA A UN BRAWLER ULTRA","DESBLOQUEA A UN BRAWLER ULTRA","AVAA ULTRARÄMÄPÄÄ","DÉBLOQUEZ UN BRAWLER ULTRA","פתחו נעילה של בראולר אולטרה","BUKA JAGOAN ULTRA","SBLOCCA UN BRAWLER ULTRA","ウルトラレジェンドレアキャラクターをアンロック","울트라 브롤러 잠금 해제","BUKA BRAWLER ULTRA","ONTGRENDEL EEN ULTRA-KNOKKER","ODBLOKUJ ULTRA ZADYMIARZA","LIBERE UM BRAWLER ULTRA","УЛЬТРАБОЕЦ","ปลดล็อคบรอว์เลอร์อัลตร้า","BİR ULTRA SAVAŞÇI AÇ","MỞ KHÓA MỘT CHIẾN BINH BRAWL TỐI THƯỢNG","РОЗБЛОКУЙ УЛЬТРАРІДКІСНОГО БІЙЦЯ"
"TID_FUTURE_GIRL_OVERCHARGE","GREEN ENERGY","الطاقة النظيفة","清洁能源","綠色能源","GRÜNE ENERGIE","ENERGÍA RENOVABLE","ENERGÍA VERDE","VIHREÄÄ ENERGIAA","ÉNERGIE VERTE","אנרגיה ירוקה","ENERGI HIJAU","ENERGIA PULITA","グリーンエネルギー","그린 에너지","TENAGA HIJAU","GROENE ENERGIE","ZIELONA ENERGIA","ENERGIA SUSTENTÁVEL","ЗЕЛЁНАЯ ЭНЕРГИЯ","พลังงานรักษ์โลก","YEŞİL ENERJİ","NĂNG LƯỢNG XANH","ЗЕЛЕНА ЕНЕРГІЯ"
"TID_FUTURE_GIRL_OVERCHARGE_DESC","Increased Shield Generator health and absorb <c00cc00><VALUE>%</c> of damage taken by Wendy or her teammates.","صحة أكبر لمولّد الدرع، وامتصاص <c00cc00><VALUE>%</c> من الضرر الذي تتكبده ويندي أو زملاء فريقها.","护盾发生器生命值提升，并且会吸收温蒂和队友所受伤害的<c00cc00><VALUE>%</c>。","護盾產生器生命值提升，並且會吸收溫蒂和隊友所受傷害的<c00cc00><VALUE>%</c>。","Die TP des Schildgenerators sind erhöht und er absorbiert <c00cc00><VALUE> %</c> des Schadens, der von Wendy oder ihren Teamkameraden erlitten wird.","Aumenta la salud del Generador escudo y absorbe un <c00cc00><VALUE> %</c> del daño recibido por Wendy o sus aliados.","Aumenta la salud del generador de escudo y absorbe un <c00cc00><VALUE> %</c> del daño que reciben Wendy o sus aliados.","Kasvattaa kilpigeneraattorin elinvoimaa ja imee <c00cc00><VALUE> %</c> Wendyn tai hänen joukkuekavereidensa kärsimästä tuhosta.","Les PV du générateur de bouclier sont augmentés et il absorbe <c00cc00><VALUE></c> % des dégâts subis par Wendy et ses alliés.","מגביר את בריאות 'יוצר המגן' וסופג <c00cc00>%<VALUE></c> מהנזק שחטפה ונדי או חברי הקבוצה שלה.","Meningkatkan kesehatan Generator Perisai dan menyerap <c00cc00><VALUE>%</c> kerusakan yang diterima Wendy atau rekan tim.","Lo scudo ha più salute e assorbe il <c00cc00><VALUE>%</c> dei danni subiti da Wendy o dai suoi alleati.","バリア発生機のHPが増加し、ウェンディまたは味方が受けるダメージの<c00cc00><VALUE>％</c>を吸収する。","보호막 생성기의 HP가 증가하고, 웬디나 아군이 받는 피해량의 <c00cc00><VALUE>%</c>를 흡수합니다.","Nilai nyawa Penjana Pelindung ditingkatkan dan menyerap <c00cc00><VALUE>%</c> kerosakan diterima Wendy atau rakannya.","De gezondheid van de schildgenerator wordt verhoogd en de generator absorbeert <c00cc00><VALUE>%</c> van de schade die Wendy of haar teamgenoten oplopen.","Zwiększa PŻ generatora tarczy i pochłania <c00cc00><VALUE>%</c> obrażeń przyjmowanych przez Wendy oraz jej sojuszników.","O gerador de escudo tem mais saúde e absorve <c00cc00><VALUE>%</c> do dano recebido pela Wendy ou aliados.","Запас прочности генератора щита увеличивается, и он поглощает <c00cc00><VALUE> %</c> урона, полученного Венди или её союзниками.","เพิ่มพลังชีวิตของเครื่องสร้างโล่ป้องกันและดูดซับความเสียหาย <c00cc00><VALUE>%</c> ที่เวนดี้หรือเพื่อนร่วมทีมของเธอได้รับ","Kalkan jeneratörünün sağlığını artırır. Wendy veya takım arkadaşlarının aldığı hasarın <c00cc00>%<VALUE></c> kadarını emer.","Tăng máu của Máy tạo khiên và hấp thụ <c00cc00><VALUE>%</c> lượng sát thương mà Wendy hoặc đồng đội của cô ấy nhận vào.","Збільшує запас міцності генератора щита та відбиває <c00cc00><VALUE>%</c> ушкодження, отриманого Венді або її союзниками."
"TID_CONDUCTOR_BUDDY_GADGET_1_DESC","Chuck removes the nearest Post, recharges <c00cc00><!card.accessory.customValue1>%</c> of his Super, and gains <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> shield for <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> sec</c>.","ينزع تشاك أقرب عمود ويشحن <c00cc00><!card.accessory.customValue1>%</c> من زخمه، ويكتسب درعًا بنسبة <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> لمدة <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> ث</c>.","查克移除最近的一处路标，并为超级技能提供<c00cc00><!card.accessory.customValue1>%</c>充能。他还会获得<c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c>的减伤护盾，持续<c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds>秒</c>。","查克移除最近的一處路標，並為超級技能提供<c00cc00><!card.accessory.customValue1>%</c>蓄能。他還會獲得<c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c>的減傷護盾，持續<c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds>秒</c>。","Chuck entfernt den Signalpfosten, der ihm am nächsten ist, lädt <c00cc00><!card.accessory.customValue1> %</c> seines Superskills auf und erhält <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c> Sekunden lang einen Schild im Wert von <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent> %</c>.","Chuck quita la señal más cercana, recarga su superataque un <c00cc00><!card.accessory.customValue1> %</c> y obtiene un escudo del <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent> %</c> durante <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c> segundo(s).","Chuck quita la señal más cercana, carga su súper un <c00cc00><!card.accessory.customValue1> %</c> y obtiene un escudo del <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent> %</c> durante <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c> segundo(s).","Chuck poistaa lähimmän pylvään, lataa <c00cc00><!card.accessory.customValue1> %</c> superistaan ja saa <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent> %</c> kilven <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> sekunniksi</c>.","Chuck retire le poteau le plus proche, recharge son super à <c00cc00><!card.accessory.customValue1> %</c> et obtient un bouclier de <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent></c> % pendant <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> s.","צ'אק מסיר את התמרור הקרוב ביותר, טוען מחדש <c00cc00>%<!card.accessory.customValue1></c> מתכונת הסופר שלו, וצובר <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> מגן למשך <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> שניות</c>.","Chuck menyingkirkan Pos terdekat, mengisi <c00cc00><!card.accessory.customValue1>%</c> Super miliknya, dan mendapatkan <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> perisai selama <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> detik</c>.","Chuck rimuove il segnale più vicino, ricarica il <c00cc00><!card.accessory.customValue1>%</c> della super e ottiene uno scudo del <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> che dura <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c> secondi.","最も近いポストを撤去し、必殺技を<c00cc00><!card.accessory.customValue1>％</c>チャージして、<c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds>秒間</c>、<c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>％</c>のシールドを獲得する。","가장 가까운 신호기를 제거해 특수 공격을 <c00cc00><!card.accessory.customValue1>%</c> 재충전하고, <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds>초</c> 동안 <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c>의 보호막을 얻습니다.","Chuck mengeluarkan Tiang terdekat, mengecas semula <c00cc00><!card.accessory.customValue1>%</c> Super dan mendapat <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> perisai selama <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> saat</c>.","Chuck verwijdert de dichtstbijzijnde mast, laadt <c00cc00><!card.accessory.customValue1>%</c> van zijn super op en krijgt <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> schild voor <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> sec</c>.","Chuck usuwa najbliższy słupek i ładuje swój superatak o <c00cc00><!card.accessory.customValue1>%</c> oraz zyskuje <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> tarczy na <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c> s.","Chuck remove a placa mais próxima, recarrega <c00cc00><!card.accessory.customValue1>%</c> do Super e ganha um escudo de <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> por <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c>s.","Чак убирает ближайший знак, заряжает свой Супер на <c00cc00><!card.accessory.customValue1></c> % и получает <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>-процентный</c> щит на <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c> с.","ชัคนำเสาที่อยู่ใกล้ที่สุดออกพร้อมชาร์จท่าไม้ตายของเขา <c00cc00><!card.accessory.customValue1>%</c> และได้รับโล่ป้องกัน <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> เป็นระยะเวลา <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> วินาที</c>","Chuck en yakındaki tabelayı kaldırır, süperinin <c00cc00>%<!card.accessory.customValue1></c> kadarını doldurur ve <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds></c> saniyeliğine <c00cc00>%<!buddy.accessory.statusEffectSelf.shieldPercent></c> kalkan kazanır.","Chuck tháo bỏ chiếc Cột gần nhất, sạc lại <c00cc00><!card.accessory.customValue1>%</c> Tuyệt chiêu và nhận khiên chắn <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> trong <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> giây</c>.","Чак прибирає найближчий стовп, поповнює <c00cc00><!card.accessory.customValue1>%</c> заряду супердії та отримує <c00cc00><!buddy.accessory.statusEffectSelf.shieldPercent>%</c> щита протягом <c00cc00><!buddy.accessory.statusEffectSelf.durationTicks.ticksAsSeconds> с</c>."
